Site,Survey Night 1,Survey Night 2,Survey Night 3,Survey Night 4,HABITAT,human.dist,period
1,1,1,1,1,1,0,1
2,0,0,0,0,1,75,1
3,0,0,0,0,1,150,1
4,0,0,0,0,1,0,1
5,1,0,1,0,1,75,1
6,0,0,0,1,1,150,1
7,0,0,0,0,2,0,1
8,0,0,0,0,2,75,1
9,0,0,0,0,2,150,1
10,0,0,0,0,2,0,1
11,1,1,1,0,2,75,1
12,0,1,1,1,2,150,1
19,0,0,0,0,5,0,1
20,0,0,0,0,5,75,1
1,0,0,0,0,1,0,2
2,0,0,0,0,1,75,2
3,0,0,0,0,1,150,2
4,0,0,0,0,1,0,2
5,0,0,0,0,1,75,2
6,0,0,0,0,1,150,2
7,0,0,0,0,2,0,2
8,0,0,0,0,2,75,2
9,0,0,0,0,2,150,2
10,0,0,0,0,2,0,2
11,0,0,0,0,2,75,2
12,0,0,0,0,2,150,2
19,0,0,0,0,5,0,2
20,0,0,0,0,5,75,2
