id,rat,site,night,habitat,distance,native,period
1,1,1,1,1,0,1,pre
2,1,1,2,1,0,1,pre
3,1,1,3,1,0,1,pre
4,1,1,4,1,0,1,pre
5,0,2,1,1,75,1,pre
6,0,2,2,1,75,1,pre
7,0,2,3,1,75,1,pre
8,0,2,4,1,75,1,pre
9,0,3,1,1,150,1,pre
10,0,3,2,1,150,1,pre
11,0,3,3,1,150,1,pre
12,0,3,4,1,150,1,pre
13,0,4,1,1,0,1,pre
14,0,4,2,1,0,1,pre
15,0,4,3,1,0,1,pre
16,0,4,4,1,0,1,pre
17,1,5,1,1,75,1,pre
18,0,5,2,1,75,1,pre
19,1,5,3,1,75,1,pre
20,0,5,4,1,75,1,pre
21,0,6,1,1,150,1,pre
22,0,6,2,1,150,1,pre
23,0,6,3,1,150,1,pre
24,1,6,4,1,150,1,pre
25,0,7,1,2,0,1,pre
26,0,7,2,2,0,1,pre
27,0,7,3,2,0,1,pre
28,0,7,4,2,0,1,pre
29,0,8,1,2,75,0,pre
30,0,8,2,2,75,0,pre
31,0,8,3,2,75,0,pre
32,0,8,4,2,75,0,pre
33,0,9,1,2,150,1,pre
34,0,9,2,2,150,1,pre
35,0,9,3,2,150,1,pre
36,0,9,4,2,150,1,pre
37,0,10,1,2,0,0,pre
38,0,10,2,2,0,0,pre
39,0,10,3,2,0,0,pre
40,0,10,4,2,0,0,pre
41,1,11,1,2,75,1,pre
42,1,11,2,2,75,1,pre
43,1,11,3,2,75,1,pre
44,0,11,4,2,75,1,pre
45,0,12,1,2,150,1,pre
46,1,12,2,2,150,1,pre
47,1,12,3,2,150,1,pre
48,1,12,4,2,150,1,pre
49,0,13,1,3,0,1,pre
50,0,13,2,3,0,1,pre
51,0,13,3,3,0,1,pre
52,0,13,4,3,0,1,pre
53,0,14,1,3,75,1,pre
54,0,14,2,3,75,1,pre
55,0,14,3,3,75,1,pre
56,0,14,4,3,75,1,pre
57,0,15,1,3,150,0,pre
58,0,15,2,3,150,0,pre
59,0,15,3,3,150,0,pre
60,0,15,4,3,150,0,pre
61,0,1,1,1,0,1,post
62,0,1,2,1,0,1,post
63,0,1,3,1,0,1,post
64,0,1,4,1,0,1,post
65,0,2,1,1,75,1,post
66,0,2,2,1,75,1,post
67,0,2,3,1,75,1,post
68,0,2,4,1,75,1,post
69,0,3,1,1,150,1,post
70,0,3,2,1,150,1,post
71,0,3,3,1,150,1,post
72,0,3,4,1,150,1,post
73,0,4,1,1,0,1,post
74,0,4,2,1,0,1,post
75,0,4,3,1,0,1,post
76,0,4,4,1,0,1,post
77,0,5,1,1,75,0,post
78,0,5,2,1,75,0,post
79,0,5,3,1,75,0,post
80,0,5,4,1,75,0,post
81,0,6,1,1,150,1,post
82,0,6,2,1,150,1,post
83,0,6,3,1,150,1,post
84,0,6,4,1,150,1,post
85,0,7,1,2,0,0,post
86,0,7,2,2,0,0,post
87,0,7,3,2,0,0,post
88,0,7,4,2,0,0,post
89,0,8,1,2,75,0,post
90,0,8,2,2,75,0,post
91,0,8,3,2,75,0,post
92,0,8,4,2,75,0,post
93,0,9,1,2,150,1,post
94,0,9,2,2,150,1,post
95,0,9,3,2,150,1,post
96,0,9,4,2,150,1,post
97,0,10,1,2,0,1,post
98,0,10,2,2,0,1,post
99,0,10,3,2,0,1,post
100,0,10,4,2,0,1,post
101,0,11,1,2,75,1,post
102,0,11,2,2,75,1,post
103,0,11,3,2,75,1,post
104,0,11,4,2,75,1,post
105,0,12,1,2,150,1,post
106,0,12,2,2,150,1,post
107,0,12,3,2,150,1,post
108,0,12,4,2,150,1,post
109,0,13,1,3,0,0,post
110,0,13,2,3,0,0,post
111,0,13,3,3,0,0,post
112,0,13,4,3,0,0,post
113,0,14,1,3,75,0,post
114,0,14,2,3,75,0,post
115,0,14,3,3,75,0,post
116,0,14,4,3,75,0,post
117,0,15,1,3,150,0,post
118,0,15,2,3,150,0,post
119,0,15,3,3,150,0,post
120,0,15,4,3,150,0,post
